55834574848,FIELD_IDENTIFIER,2,,,isConfigured,isConfigured,25,14,,,2
55834574849,FIELD_IDENTIFIER,2,,,status,status,19,15,,,2
55834574850,FIELD_IDENTIFIER,2,,,json,json,31,15,,,2
55834574851,FIELD_IDENTIFIER,2,,,error,error,10,16,,,2
55834574852,FIELD_IDENTIFIER,2,,,json,json,10,20,,,2
55834574853,FIELD_IDENTIFIER,2,,,connected,connected,8,21,,,2
55834574854,FIELD_IDENTIFIER,2,,,message,message,8,22,,,2
55834574855,FIELD_IDENTIFIER,2,,,status,status,10,25,,,2
55834574856,FIELD_IDENTIFIER,2,,,json,json,22,25,,,2
55834574857,FIELD_IDENTIFIER,2,,,error,error,29,25,,,2
55834574858,FIELD_IDENTIFIER,2,,,message,message,42,25,,,2
55834574859,FIELD_IDENTIFIER,2,,,body,body,29,34,,,2
55834574860,FIELD_IDENTIFIER,2,,,prompt,prompt,14,34,,,2
55834574861,FIELD_IDENTIFIER,2,,,status,status,19,37,,,2
55834574862,FIELD_IDENTIFIER,2,,,json,json,31,37,,,2
55834574863,FIELD_IDENTIFIER,2,,,error,error,38,37,,,2
55834574864,FIELD_IDENTIFIER,2,,,generateTextResponse,generateTextResponse,43,40,,,2
55834574865,FIELD_IDENTIFIER,2,,,json,json,10,41,,,2
55834574866,FIELD_IDENTIFIER,2,,,response,response,17,41,,,2
55834574867,FIELD_IDENTIFIER,2,,,status,status,10,43,,,2
55834574868,FIELD_IDENTIFIER,2,,,json,json,22,43,,,2
55834574869,FIELD_IDENTIFIER,2,,,error,error,29,43,,,2
55834574870,FIELD_IDENTIFIER,2,,,message,message,42,43,,,2
55834574871,FIELD_IDENTIFIER,2,,,body,body,49,52,,,2
55834574872,FIELD_IDENTIFIER,2,,,prompt,prompt,14,52,,,2
55834574873,FIELD_IDENTIFIER,2,,,fileData,fileData,22,52,,,2
55834574874,FIELD_IDENTIFIER,2,,,mimeType,mimeType,32,52,,,2
55834574875,FIELD_IDENTIFIER,2,,,status,status,19,55,,,2
55834574876,FIELD_IDENTIFIER,2,,,json,json,31,55,,,2
55834574877,FIELD_IDENTIFIER,2,,,error,error,38,55,,,2
55834574878,FIELD_IDENTIFIER,2,,,status,status,19,59,,,2
55834574879,FIELD_IDENTIFIER,2,,,json,json,31,59,,,2
55834574880,FIELD_IDENTIFIER,2,,,error,error,38,59,,,2
55834574881,FIELD_IDENTIFIER,2,,,generateResponseWithExcel,generateResponseWithExcel,39,70,,,2
55834574882,FIELD_IDENTIFIER,2,,,generateResponseWithFile,generateResponseWithFile,39,73,,,2
55834574883,FIELD_IDENTIFIER,2,,,json,json,10,76,,,2
55834574884,FIELD_IDENTIFIER,2,,,response,response,17,76,,,2
55834574885,FIELD_IDENTIFIER,2,,,status,status,10,78,,,2
55834574886,FIELD_IDENTIFIER,2,,,json,json,22,78,,,2
55834574887,FIELD_IDENTIFIER,2,,,error,error,29,78,,,2
55834574888,FIELD_IDENTIFIER,2,,,message,message,42,78,,,2
55834574889,FIELD_IDENTIFIER,2,,,body,body,34,87,,,2
55834574890,FIELD_IDENTIFIER,2,,,projectName,projectName,14,87,,,2
55834574891,FIELD_IDENTIFIER,2,,,status,status,19,90,,,2
55834574892,FIELD_IDENTIFIER,2,,,json,json,31,90,,,2
55834574893,FIELD_IDENTIFIER,2,,,error,error,38,90,,,2
55834574894,FIELD_IDENTIFIER,2,,,log,log,14,93,,,2
55834574895,FIELD_IDENTIFIER,2,,,generateInsights,generateInsights,55,96,,,2
55834574896,FIELD_IDENTIFIER,2,,,log,log,14,99,,,2
55834574897,FIELD_IDENTIFIER,2,,,log,log,14,103,,,2
55834574898,FIELD_IDENTIFIER,2,,,log,log,14,106,,,2
55834574899,FIELD_IDENTIFIER,2,,,json,json,10,108,,,2
55834574900,FIELD_IDENTIFIER,2,,,projectName,projectName,8,109,,,2
55834574901,FIELD_IDENTIFIER,2,,,insights,insights,8,110,,,2
55834574902,FIELD_IDENTIFIER,2,,,correctedInsights,correctedInsights,8,111,,,2
55834574903,FIELD_IDENTIFIER,2,,,saved,saved,8,112,,,2
55834574904,FIELD_IDENTIFIER,2,,,error,error,14,115,,,2
55834574905,FIELD_IDENTIFIER,2,,,message,message,55,115,,,2
55834574906,FIELD_IDENTIFIER,2,,,status,status,10,116,,,2
55834574907,FIELD_IDENTIFIER,2,,,json,json,22,116,,,2
55834574908,FIELD_IDENTIFIER,2,,,error,error,29,116,,,2
55834574909,FIELD_IDENTIFIER,2,,,message,message,42,116,,,2
55834574910,FIELD_IDENTIFIER,2,,,params,params,34,125,,,2
55834574911,FIELD_IDENTIFIER,2,,,projectName,projectName,14,125,,,2
55834574912,FIELD_IDENTIFIER,2,,,status,status,19,128,,,2
55834574913,FIELD_IDENTIFIER,2,,,json,json,31,128,,,2
55834574914,FIELD_IDENTIFIER,2,,,error,error,38,128,,,2
55834574915,FIELD_IDENTIFIER,2,,,log,log,14,131,,,2
55834574916,FIELD_IDENTIFIER,2,,,status,status,19,135,,,2
55834574917,FIELD_IDENTIFIER,2,,,json,json,31,135,,,2
55834574918,FIELD_IDENTIFIER,2,,,error,error,10,136,,,2
55834574919,FIELD_IDENTIFIER,2,,,message,message,10,137,,,2
55834574920,FIELD_IDENTIFIER,2,,,json,json,10,141,,,2
55834574921,FIELD_IDENTIFIER,2,,,projectName,projectName,8,142,,,2
55834574922,FIELD_IDENTIFIER,2,,,project_name,project_name,35,142,,,2
55834574923,FIELD_IDENTIFIER,2,,,insights,insights,8,143,,,2
55834574924,FIELD_IDENTIFIER,2,,,insights_data,insights_data,32,143,,,2
55834574925,FIELD_IDENTIFIER,2,,,scores,scores,8,144,,,2
55834574926,FIELD_IDENTIFIER,2,,,final_user_score,final_user_score,10,145,,,2
55834574927,FIELD_IDENTIFIER,2,,,final_user_score,final_user_score,42,145,,,2
55834574928,FIELD_IDENTIFIER,2,,,api_score,api_score,10,146,,,2
55834574929,FIELD_IDENTIFIER,2,,,api_score,api_score,35,146,,,2
55834574930,FIELD_IDENTIFIER,2,,,combined_score,combined_score,10,147,,,2
55834574931,FIELD_IDENTIFIER,2,,,combined_score,combined_score,40,147,,,2
55834574932,FIELD_IDENTIFIER,2,,,created_at,created_at,8,149,,,2
55834574933,FIELD_IDENTIFIER,2,,,created_at,created_at,34,149,,,2
55834574934,FIELD_IDENTIFIER,2,,,error,error,14,152,,,2
55834574935,FIELD_IDENTIFIER,2,,,message,message,63,152,,,2
55834574936,FIELD_IDENTIFIER,2,,,status,status,10,153,,,2
55834574937,FIELD_IDENTIFIER,2,,,json,json,22,153,,,2
55834574938,FIELD_IDENTIFIER,2,,,error,error,29,153,,,2
55834574939,FIELD_IDENTIFIER,2,,,message,message,42,153,,,2
55834574940,FIELD_IDENTIFIER,2,,,params,params,32,162,,,2
55834574941,FIELD_IDENTIFIER,2,,,projectId,projectId,14,162,,,2
55834574942,FIELD_IDENTIFIER,2,,,status,status,19,165,,,2
55834574943,FIELD_IDENTIFIER,2,,,json,json,31,165,,,2
55834574944,FIELD_IDENTIFIER,2,,,error,error,38,165,,,2
55834574945,FIELD_IDENTIFIER,2,,,log,log,14,168,,,2
55834574946,FIELD_IDENTIFIER,2,,,length,length,46,171,,,2
55834574947,FIELD_IDENTIFIER,2,,,json,json,19,172,,,2
55834574948,FIELD_IDENTIFIER,2,,,history,history,10,173,,,2
55834574949,FIELD_IDENTIFIER,2,,,message,message,10,174,,,2
55834574950,FIELD_IDENTIFIER,2,,,json,json,10,178,,,2
55834574951,FIELD_IDENTIFIER,2,,,projectId,projectId,8,179,,,2
55834574952,FIELD_IDENTIFIER,2,,,history,history,8,180,,,2
55834574953,FIELD_IDENTIFIER,2,,,error,error,14,183,,,2
55834574954,FIELD_IDENTIFIER,2,,,message,message,71,183,,,2
55834574955,FIELD_IDENTIFIER,2,,,status,status,10,184,,,2
55834574956,FIELD_IDENTIFIER,2,,,json,json,22,184,,,2
55834574957,FIELD_IDENTIFIER,2,,,error,error,29,184,,,2
55834574958,FIELD_IDENTIFIER,2,,,message,message,42,184,,,2
55834574959,FIELD_IDENTIFIER,2,,,name,name,40,211,,,2
55834574960,FIELD_IDENTIFIER,2,,,toLowerCase,toLowerCase,45,211,,,2
55834574961,FIELD_IDENTIFIER,2,,,replace,replace,59,211,,,2
55834574962,FIELD_IDENTIFIER,2,,,score,score,49,212,,,2
55834574963,FIELD_IDENTIFIER,2,,,insights_data,insights_data,37,205,,,2
55834574964,FIELD_IDENTIFIER,2,,,section_scores,section_scores,25,209,,,2
55834574965,FIELD_IDENTIFIER,2,,,isArray,isArray,49,209,,,2
55834574966,FIELD_IDENTIFIER,2,,,section_scores,section_scores,70,209,,,2
55834574967,FIELD_IDENTIFIER,2,,,section_scores,section_scores,23,210,,,2
55834574968,FIELD_IDENTIFIER,2,,,forEach,forEach,38,210,,,2
55834574969,FIELD_IDENTIFIER,2,,,id,id,10,217,,,2
55834574970,FIELD_IDENTIFIER,2,,,id,id,22,217,,,2
55834574971,FIELD_IDENTIFIER,2,,,uuid,uuid,10,218,,,2
55834574972,FIELD_IDENTIFIER,2,,,uuid,uuid,24,218,,,2
55834574973,FIELD_IDENTIFIER,2,,,name,name,10,219,,,2
55834574974,FIELD_IDENTIFIER,2,,,name,name,24,219,,,2
55834574975,FIELD_IDENTIFIER,2,,,group,group,10,220,,,2
55834574976,FIELD_IDENTIFIER,2,,,full_path,full_path,25,220,,,2
55834574977,FIELD_IDENTIFIER,2,,,split,split,36,220,,,2
55834574978,FIELD_IDENTIFIER,2,,,metrics,metrics,10,221,,,2
55834574979,FIELD_IDENTIFIER,2,,,codeReview,codeReview,12,222,,,2
55834574980,FIELD_IDENTIFIER,2,,,codereview,codereview,38,222,,,2
55834574981,FIELD_IDENTIFIER,2,,,technicalDebt,technicalDebt,12,223,,,2
55834574982,FIELD_IDENTIFIER,2,,,technicaldebt,technicaldebt,41,223,,,2
55834574983,FIELD_IDENTIFIER,2,,,testQuality,testQuality,12,224,,,2
55834574984,FIELD_IDENTIFIER,2,,,testquality,testquality,39,224,,,2
55834574985,FIELD_IDENTIFIER,2,,,documentation,documentation,12,225,,,2
55834574986,FIELD_IDENTIFIER,2,,,documentation,documentation,41,225,,,2
55834574987,FIELD_IDENTIFIER,2,,,deployment,deployment,12,226,,,2
55834574988,FIELD_IDENTIFIER,2,,,deployment,deployment,38,226,,,2
55834574989,FIELD_IDENTIFIER,2,,,dependencies,dependencies,12,227,,,2
55834574990,FIELD_IDENTIFIER,2,,,dependencies,dependencies,40,227,,,2
55834574991,FIELD_IDENTIFIER,2,,,teamMorale,teamMorale,12,228,,,2
55834574992,FIELD_IDENTIFIER,2,,,teammorale,teammorale,38,228,,,2
55834574993,FIELD_IDENTIFIER,2,,,teamvelocity,teamvelocity,66,228,,,2
55834574994,FIELD_IDENTIFIER,2,,,teamvelocitymorale,teamvelocitymorale,96,228,,,2
55834574995,FIELD_IDENTIFIER,2,,,apiScore,apiScore,12,229,,,2
55834574996,FIELD_IDENTIFIER,2,,,api_score,api_score,30,229,,,2
55834574997,FIELD_IDENTIFIER,2,,,combinedScore,combinedScore,12,230,,,2
55834574998,FIELD_IDENTIFIER,2,,,combined_score,combined_score,35,230,,,2
55834574999,FIELD_IDENTIFIER,2,,,created_at,created_at,10,232,,,2
55834575000,FIELD_IDENTIFIER,2,,,created_at,created_at,30,232,,,2
55834575001,FIELD_IDENTIFIER,2,,,log,log,14,193,,,2
55834575002,FIELD_IDENTIFIER,2,,,length,length,38,196,,,2
55834575003,FIELD_IDENTIFIER,2,,,json,json,19,197,,,2
55834575004,FIELD_IDENTIFIER,2,,,projects,projects,10,198,,,2
55834575005,FIELD_IDENTIFIER,2,,,message,message,10,199,,,2
55834575006,FIELD_IDENTIFIER,2,,,map,map,44,204,,,2
55834575007,FIELD_IDENTIFIER,2,,,json,json,10,236,,,2
55834575008,FIELD_IDENTIFIER,2,,,projects,projects,8,237,,,2
55834575009,FIELD_IDENTIFIER,2,,,count,count,8,238,,,2
55834575010,FIELD_IDENTIFIER,2,,,length,length,33,238,,,2
55834575011,FIELD_IDENTIFIER,2,,,error,error,14,241,,,2
55834575012,FIELD_IDENTIFIER,2,,,message,message,67,241,,,2
55834575013,FIELD_IDENTIFIER,2,,,status,status,10,242,,,2
55834575014,FIELD_IDENTIFIER,2,,,json,json,22,242,,,2
55834575015,FIELD_IDENTIFIER,2,,,error,error,29,242,,,2
55834575016,FIELD_IDENTIFIER,2,,,message,message,42,242,,,2
55834575017,FIELD_IDENTIFIER,2,,,Request,Request,0,2,,,2
55834575018,FIELD_IDENTIFIER,2,,,Response,Response,0,2,,,2
55834575019,FIELD_IDENTIFIER,2,,,parseAndCorrectInsights,parseAndCorrectInsights,0,5,,,2
55834575020,FIELD_IDENTIFIER,2,,,saveProjectInsights,saveProjectInsights,0,6,,,2
55834575021,FIELD_IDENTIFIER,2,,,getLatestProjectInsights,getLatestProjectInsights,0,6,,,2
55834575022,FIELD_IDENTIFIER,2,,,getProjectInsightsHistoryById,getProjectInsightsHistoryById,0,6,,,2
55834575023,FIELD_IDENTIFIER,2,,,getAllLatestProjectInsights,getAllLatestProjectInsights,0,6,,,2
55834575024,FIELD_IDENTIFIER,2,,,params,params,35,15,,,2
55834575025,FIELD_IDENTIFIER,2,,,id,id,42,15,,,2
55834575026,FIELD_IDENTIFIER,2,,,status,status,17,18,,,2
55834575027,FIELD_IDENTIFIER,2,,,json,json,29,18,,,2
55834575028,FIELD_IDENTIFIER,2,,,error,error,36,18,,,2
55834575029,FIELD_IDENTIFIER,2,,,log,log,12,21,,,2
55834575030,FIELD_IDENTIFIER,2,,,syncCommitMetrics,syncCommitMetrics,51,23,,,2
