167503724544,TYPE_DECL,,controllers/aiController.ts::program,METHOD,class AIController,0,controllers/aiController.ts,controllers/aiController.ts::program:AIController,<empty>,,false,8,AIController,,,-1
167503724545,TYPE_DECL,,controllers/aiController.ts::program:AIController:<init>,METHOD,<lambda>0,19,controllers/aiController.ts,controllers/aiController.ts::program:AIController:<init>:<lambda>0,<empty>,ANY,false,12,<lambda>0,,,1
167503724546,TYPE_DECL,,controllers/aiController.ts::program:AIController:<init>,METHOD,<lambda>1,17,controllers/aiController.ts,controllers/aiController.ts::program:AIController:<init>:<lambda>1,<empty>,ANY,false,32,<lambda>1,,,1
167503724547,TYPE_DECL,,controllers/aiController.ts::program:AIController:<init>,METHOD,<lambda>2,20,controllers/aiController.ts,controllers/aiController.ts::program:AIController:<init>:<lambda>2,<empty>,ANY,false,50,<lambda>2,,,1
167503724548,TYPE_DECL,,controllers/aiController.ts::program:AIController:<init>,METHOD,<lambda>3,28,controllers/aiController.ts,controllers/aiController.ts::program:AIController:<init>:<lambda>3,<empty>,ANY,false,85,<lambda>3,,,1
167503724549,TYPE_DECL,,controllers/aiController.ts::program:AIController:<init>,METHOD,<lambda>4,23,controllers/aiController.ts,controllers/aiController.ts::program:AIController:<init>:<lambda>4,<empty>,ANY,false,123,<lambda>4,,,1
167503724550,TYPE_DECL,,controllers/aiController.ts::program:AIController:<init>,METHOD,<lambda>5,34,controllers/aiController.ts,controllers/aiController.ts::program:AIController:<init>:<lambda>5,<empty>,ANY,false,160,<lambda>5,,,1
167503724551,TYPE_DECL,,controllers/aiController.ts::program:AIController:<init>:<lambda>6:<lambda>7,METHOD,<lambda>8,46,controllers/aiController.ts,controllers/aiController.ts::program:AIController:<init>:<lambda>6:<lambda>7:<lambda>8,<empty>,ANY,false,210,<lambda>8,,,1
167503724552,TYPE_DECL,,controllers/aiController.ts::program:AIController:<init>:<lambda>6,METHOD,<lambda>7,48,controllers/aiController.ts,controllers/aiController.ts::program:AIController:<init>:<lambda>6:<lambda>7,<empty>,ANY,false,204,<lambda>7,,,1
167503724553,TYPE_DECL,,controllers/aiController.ts::program:AIController:<init>,METHOD,<lambda>6,26,controllers/aiController.ts,controllers/aiController.ts::program:AIController:<init>:<lambda>6,<empty>,ANY,false,191,<lambda>6,,,1
167503724554,TYPE_DECL,,controllers/aiController.ts::program:AIController,TYPE_DECL,<init>,0,controllers/aiController.ts,controllers/aiController.ts::program:AIController:<init>,<empty>,ANY,false,8,<init>,,,1
167503724555,TYPE_DECL,,controllers/aiController.ts:<global>,NAMESPACE_BLOCK,:program,0,controllers/aiController.ts,controllers/aiController.ts::program,<empty>,ANY,false,1,:program,,,1
167503724556,TYPE_DECL,,controllers/commitMetricsController.ts::program,METHOD,<lambda>0,36,controllers/commitMetricsController.ts,controllers/commitMetricsController.ts::program:<lambda>0,<empty>,ANY,false,13,<lambda>0,,,1
167503724557,TYPE_DECL,,controllers/commitMetricsController.ts::program,METHOD,<lambda>1,32,controllers/commitMetricsController.ts,controllers/commitMetricsController.ts::program:<lambda>1,<empty>,ANY,false,43,<lambda>1,,,1
167503724558,TYPE_DECL,,controllers/commitMetricsController.ts::program,METHOD,<lambda>2,39,controllers/commitMetricsController.ts,controllers/commitMetricsController.ts::program:<lambda>2,<empty>,ANY,false,80,<lambda>2,,,1
167503724559,TYPE_DECL,,controllers/commitMetricsController.ts:<global>,NAMESPACE_BLOCK,:program,0,controllers/commitMetricsController.ts,controllers/commitMetricsController.ts::program,<empty>,ANY,false,1,:program,,,1
167503724560,TYPE_DECL,,controllers/doraMetricsController.ts::program,METHOD,<lambda>0,41,controllers/doraMetricsController.ts,controllers/doraMetricsController.ts::program:<lambda>0,<empty>,ANY,false,31,<lambda>0,,,1
167503724561,TYPE_DECL,,controllers/doraMetricsController.ts::program,METHOD,<lambda>1,36,controllers/doraMetricsController.ts,controllers/doraMetricsController.ts::program:<lambda>1,<empty>,ANY,false,72,<lambda>1,,,1
167503724562,TYPE_DECL,,controllers/doraMetricsController.ts::program,METHOD,<lambda>2,39,controllers/doraMetricsController.ts,controllers/doraMetricsController.ts::program:<lambda>2,<empty>,ANY,false,123,<lambda>2,,,1
167503724563,TYPE_DECL,,controllers/doraMetricsController.ts::program,METHOD,<lambda>3,42,controllers/doraMetricsController.ts,controllers/doraMetricsController.ts::program:<lambda>3,<empty>,ANY,false,164,<lambda>3,,,1
167503724564,TYPE_DECL,,controllers/doraMetricsController.ts::program,METHOD,<lambda>4,38,controllers/doraMetricsController.ts,controllers/doraMetricsController.ts::program:<lambda>4,<empty>,ANY,false,216,<lambda>4,,,1
167503724565,TYPE_DECL,,controllers/doraMetricsController.ts::program,METHOD,<lambda>5,34,controllers/doraMetricsController.ts,controllers/doraMetricsController.ts::program:<lambda>5,<empty>,ANY,false,240,<lambda>5,,,1
167503724566,TYPE_DECL,,controllers/doraMetricsController.ts::program,METHOD,<lambda>6,37,controllers/doraMetricsController.ts,controllers/doraMetricsController.ts::program:<lambda>6,<empty>,ANY,false,264,<lambda>6,,,1
167503724567,TYPE_DECL,,controllers/doraMetricsController.ts::program,METHOD,<lambda>7,40,controllers/doraMetricsController.ts,controllers/doraMetricsController.ts::program:<lambda>7,<empty>,ANY,false,288,<lambda>7,,,1
167503724568,TYPE_DECL,,controllers/doraMetricsController.ts::program,METHOD,<lambda>8,37,controllers/doraMetricsController.ts,controllers/doraMetricsController.ts::program:<lambda>8,<empty>,ANY,false,312,<lambda>8,,,1
167503724569,TYPE_DECL,,controllers/doraMetricsController.ts::program,METHOD,<lambda>9,33,controllers/doraMetricsController.ts,controllers/doraMetricsController.ts::program:<lambda>9,<empty>,ANY,false,338,<lambda>9,,,1
167503724570,TYPE_DECL,,controllers/doraMetricsController.ts::program,METHOD,<lambda>10,47,controllers/doraMetricsController.ts,controllers/doraMetricsController.ts::program:<lambda>10,<empty>,ANY,false,370,<lambda>10,,,1
167503724571,TYPE_DECL,,controllers/doraMetricsController.ts::program,METHOD,<lambda>11,42,controllers/doraMetricsController.ts,controllers/doraMetricsController.ts::program:<lambda>11,<empty>,ANY,false,399,<lambda>11,,,1
167503724572,TYPE_DECL,,controllers/doraMetricsController.ts::program,METHOD,<lambda>12,45,controllers/doraMetricsController.ts,controllers/doraMetricsController.ts::program:<lambda>12,<empty>,ANY,false,428,<lambda>12,,,1
167503724573,TYPE_DECL,,controllers/doraMetricsController.ts::program,METHOD,<lambda>13,48,controllers/doraMetricsController.ts,controllers/doraMetricsController.ts::program:<lambda>13,<empty>,ANY,false,457,<lambda>13,,,1
167503724574,TYPE_DECL,,controllers/doraMetricsController.ts::program,METHOD,<lambda>14,34,controllers/doraMetricsController.ts,controllers/doraMetricsController.ts::program:<lambda>14,<empty>,ANY,false,486,<lambda>14,,,1
167503724575,TYPE_DECL,,controllers/doraMetricsController.ts::program,METHOD,<lambda>15,37,controllers/doraMetricsController.ts,controllers/doraMetricsController.ts::program:<lambda>15,<empty>,ANY,false,510,<lambda>15,,,1
167503724576,TYPE_DECL,,controllers/doraMetricsController.ts::program,METHOD,<lambda>16,39,controllers/doraMetricsController.ts,controllers/doraMetricsController.ts::program:<lambda>16,<empty>,ANY,false,531,<lambda>16,,,1
167503724577,TYPE_DECL,,controllers/doraMetricsController.ts:<global>,NAMESPACE_BLOCK,:program,0,controllers/doraMetricsController.ts,controllers/doraMetricsController.ts::program,<empty>,ANY,false,1,:program,,,1
167503724578,TYPE_DECL,controllers/healthScoreController.ts::program:<lambda>0:<lambda>1:<anon-class>0,controllers/healthScoreController.ts::program:<lambda>0:<lambda>1,METHOD,{ rows: any[] },31,controllers/healthScoreController.ts,controllers/healthScoreController.ts::program:<lambda>0:<lambda>1:<anon-class>1,<empty>,,false,109,<anon-class>1,,,-1
167503724579,TYPE_DECL,,controllers/healthScoreController.ts::program:<lambda>0:<lambda>1,METHOD,{ rows: any[] },31,controllers/healthScoreController.ts,controllers/healthScoreController.ts::program:<lambda>0:<lambda>1:<anon-class>0,<empty>,,false,109,<anon-class>0,,,1
167503724580,TYPE_DECL,,controllers/healthScoreController.ts::program:<lambda>0:<lambda>1,METHOD,<lambda>2,27,controllers/healthScoreController.ts,controllers/healthScoreController.ts::program:<lambda>0:<lambda>1:<lambda>2,<empty>,ANY,false,110,<lambda>2,,,1
167503724581,TYPE_DECL,,controllers/healthScoreController.ts::program:<lambda>0,METHOD,<lambda>1,21,controllers/healthScoreController.ts,controllers/healthScoreController.ts::program:<lambda>0:<lambda>1,<empty>,ANY,false,109,<lambda>1,,,1
167503724582,TYPE_DECL,controllers/healthScoreController.ts::program:<lambda>0:<lambda>3:<anon-class>2,controllers/healthScoreController.ts::program:<lambda>0:<lambda>3,METHOD,{ rows: any[] },36,controllers/healthScoreController.ts,controllers/healthScoreController.ts::program:<lambda>0:<lambda>3:<anon-class>3,<empty>,,false,123,<anon-class>3,,,-1
167503724583,TYPE_DECL,,controllers/healthScoreController.ts::program:<lambda>0:<lambda>3,METHOD,{ rows: any[] },36,controllers/healthScoreController.ts,controllers/healthScoreController.ts::program:<lambda>0:<lambda>3:<anon-class>2,<empty>,,false,123,<anon-class>2,,,1
167503724584,TYPE_DECL,,controllers/healthScoreController.ts::program:<lambda>0:<lambda>3,METHOD,<lambda>4,27,controllers/healthScoreController.ts,controllers/healthScoreController.ts::program:<lambda>0:<lambda>3:<lambda>4,<empty>,ANY,false,125,<lambda>4,,,1
